,Wo.dIPA,Word,Stress,Speaker_code,Language,Lang_origin,Stop,Fricative,Position,Initial,Final,Medial,Duration.old,Duration,Vowel,Front,Back,Low,Liquid,Dip,Speaker.1,Age,Young,Old,Education,EducationLow,EducationHigh,LevelOfSpanish,SpanishLow,SpanishHigh,SP_Mid,SP_Low,SP_Zero,LevelOfQuichua,IQ_Native,IQ_High,IQ_Mid,IQ_Low,IQ_Zero,LevelofMediaLengua,ML_Native,ML_High,ML_Mid,ML_Low,ML_Zero,Living,Gender,Recording_type,F0_mid,F1_mid,F2_mid,F3_mid,Vowel_duration,F1_1,F1_2,F1_3,F1_4,F1_5,F1_6,F1_7,F2_1,F2_2,F2_3,F2_4,F2_5,F2_6,F2_7,F3_1,F3_2,F3_3,F3_4,F3_5,F3_6,F3_7
3794,babaskunaka,babaskunaka,Unstressed,NIO,ML,s,b,FALSE,i,TRUE,FALSE,FALSE,55,55,a,FALSE,FALSE,TRUE,FALSE,FALSE,Dontonio,63,FALSE,TRUE,Primary,TRUE,FALSE,High,FALSE,TRUE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Rural,m,WordList,109,281.5,1384,2508,100.1,279.9,365,445.7,493.7,530.3,535,546.2,1390.2,1127.7,1135.6,1186.1,1222.2,1254.3,1282,2506.3,2532.5,2518.5,2516.1,2518.5,2515.2,2563.9
3795,pantalonka,pantalonka,Unstressed,NIO,ML,s,p,FALSE,i,TRUE,FALSE,FALSE,11.4,11.4,a,FALSE,FALSE,TRUE,FALSE,FALSE,Dontonio,63,FALSE,TRUE,Primary,TRUE,FALSE,High,FALSE,TRUE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Rural,m,WordList,NA,978.3,1860.4,3067.8,93.4,NA,281.9,432.8,518.4,527.7,519.8,499.6,1014.7,981.4,1036.2,1151.2,1291.5,1335.8,1324.9,1903.3,2678,2696.3,2617.2,2483,2387.1,2566.2
3796,bonitomi,bonitomi,Unstressed,NIO,ML,s,b,FALSE,i,TRUE,FALSE,FALSE,76.1,76.1,o,FALSE,TRUE,FALSE,FALSE,FALSE,Dontonio,63,FALSE,TRUE,Primary,TRUE,FALSE,High,FALSE,TRUE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Rural,m,WordList,100.5,561.3,2371.2,3560.8,121.5,579.6,610,352.7,367.1,389.8,397,408.1,2407.2,2592.3,843.4,844.6,887.7,955.6,984.8,3543.5,3327.3,2590.4,2568.6,2549.5,2468.6,2466.7
3797,teremotoka,teremotoka,Unstressed,NIO,ML,s,t,FALSE,i,TRUE,FALSE,FALSE,49.6,49.6,e,TRUE,FALSE,FALSE,FALSE,FALSE,Dontonio,63,FALSE,TRUE,Primary,TRUE,FALSE,High,FALSE,TRUE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Rural,m,WordList,NA,710.4,2335.3,3128.1,97.8,735.3,278.4,330.1,339.9,339.6,338,343.2,2343.7,2019.7,1889.4,1861.5,1857.3,1856.2,1900.2,3143.6,2805.3,2765.7,2744.5,2781.2,2711.7,2816.1
3798,ba?atomi,baratomi,Unstressed,NIO,ML,s,b,FALSE,i,TRUE,FALSE,FALSE,94.7,94.7,a,FALSE,FALSE,TRUE,FALSE,FALSE,Dontonio,63,FALSE,TRUE,Primary,TRUE,FALSE,High,FALSE,TRUE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Rural,m,WordList,100.6,508.8,1202.5,2509,111.2,510.1,532.2,551.7,552.1,550.1,557.9,559.5,1203.4,1288,1345.3,1379.6,1399.1,1409.2,1407.9,2509.2,2540,2561.9,2570.6,2575.3,2573.9,2550.2
3799,bebeka,bebeka,Unstressed,NIO,ML,s,b,FALSE,i,TRUE,FALSE,FALSE,74.4,74.4,e,TRUE,FALSE,FALSE,FALSE,FALSE,Dontonio,63,FALSE,TRUE,Primary,TRUE,FALSE,High,FALSE,TRUE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Rural,m,WordList,102.1,346.1,1918.4,2484.5,100.3,347.8,356,363.6,375.4,380.9,389.4,392.7,1919.7,1904.6,1894.5,1907.3,1921.1,1929.2,1930.9,2493.3,2572.1,2614.9,2653.2,2720.6,2762.6,2768.4
3800,ca<f1>awan,canawan,Unstressed,NIO,ML,s,k,FALSE,i,TRUE,FALSE,FALSE,34.4,34.4,a,FALSE,FALSE,TRUE,FALSE,FALSE,Dontonio,63,FALSE,TRUE,Primary,TRUE,FALSE,High,FALSE,TRUE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Rural,m,WordList,119.2,328.6,1946,2590.5,78,332.4,408,488.6,504.7,520.6,523.8,522.5,1935.3,1773.1,1782.6,1799.1,1796.8,1771.8,1753.7,2586.8,2532.4,2497,2552.3,2531.8,2474.1,2462.6
3801,tiempoka,tiempoka,Unstressed,NIO,ML,s,t,FALSE,i,TRUE,FALSE,FALSE,23.6,23.6,ie,FALSE,FALSE,FALSE,FALSE,TRUE,Dontonio,63,FALSE,TRUE,Primary,TRUE,FALSE,High,FALSE,TRUE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Rural,m,WordList,NA,184.3,2131.9,3104.9,73,198.7,270.3,285.6,287.4,288.7,292.4,300.8,2127.4,2094.6,2056.4,2042.2,2044.2,2046.5,2055,3092.5,3027.8,3026.6,3036.3,3033.2,2996.5,2935.3
3802,colo?,color,Stressed,NIO,ML,s,k,FALSE,i,TRUE,FALSE,FALSE,43.2,43.2,o,FALSE,TRUE,FALSE,FALSE,FALSE,Dontonio,63,FALSE,TRUE,Primary,TRUE,FALSE,High,FALSE,TRUE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Rural,m,WordList,NA,828,2264,3388.3,67,958.8,355.1,397.7,406.7,410.8,412,416.4,2575.7,1109.9,1073.3,1046.9,1045.8,1051,1084,3500.2,2969.8,2915.3,2791.7,2744.4,2698.9,2702.6
3803,picoka,picoka,Unstressed,NIO,ML,s,p,FALSE,i,TRUE,FALSE,FALSE,11.2,11.2,i,TRUE,FALSE,FALSE,FALSE,FALSE,Dontonio,63,FALSE,TRUE,Primary,TRUE,FALSE,High,FALSE,TRUE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Rural,m,WordList,NA,274.5,1980.6,2715,69.1,275.6,286.2,281.5,274.9,277.7,280.6,284.1,2015.3,2309.2,2228.7,2222.9,2167.8,2122.2,2156,2727.2,2865.6,2893.5,2864.9,2833.9,2798.7,2784.2
3804,buroka,buroka,Unstressed,NIO,ML,s,b,FALSE,i,TRUE,FALSE,FALSE,74.5,74.5,u,FALSE,TRUE,FALSE,FALSE,FALSE,Dontonio,63,FALSE,TRUE,Primary,TRUE,FALSE,High,FALSE,TRUE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Rural,m,WordList,NA,702.8,2238.6,3113.7,143.7,732.5,193.1,235.5,233.8,228.5,307.6,444.5,2250.7,1921.5,1891.6,2177.4,902.5,1148.1,1819,3119.2,2968,2974.6,3235.7,2907.2,3169,3189.6
3805,gana?kani?u,ganarkanichu,Unstressed,NIO,ML,s,g,FALSE,i,TRUE,FALSE,FALSE,94.9,94.9,a,FALSE,FALSE,TRUE,FALSE,FALSE,Dontonio,63,FALSE,TRUE,Primary,TRUE,FALSE,High,FALSE,TRUE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Native,TRUE,FALSE,FALSE,FALSE,FALSE,Rural,m,WordList,102,394.1,1833.3,2420.6,85.1,394.4,410.5,431.6,454,474.1,494.8,512.8,1835.5,1849.1,1782.4,1722.5,1687.8,1681.6,1677.6,2420.9,2461.3,2467.4,2404,2384,2388.2,2372.5
