,Wo.dIPA,Word,Stress,Speaker_code,Language,Lang_origin,Stop,Fricative,Position,Initial,Final,Medial,Duration.old,Duration,Vowel,Front,Back,Low,Liquid,Dip,Speaker.1,Age,Young,Old,Education,EducationLow,EducationHigh,LevelOfSpanish,SpanishLow,SpanishHigh,SP_Mid,SP_Low,SP_Zero,LevelOfQuichua,IQ_Native,IQ_High,IQ_Mid,IQ_Low,IQ_Zero,LevelofMediaLengua,ML_Native,ML_High,ML_Mid,ML_Low,ML_Zero,Living,Gender,Recording_type,F0_mid,F1_mid,F2_mid,F3_mid,Vowel_duration,F1_1,F1_2,F1_3,F1_4,F1_5,F1_6,F1_7,F2_1,F2_2,F2_3,F2_4,F2_5,F2_6,F2_7,F3_1,F3_2,F3_3,F3_4,F3_5,F3_6,F3_7
1,debe?es,deberes,Unstressed,REA,Spanish,s,d,FALSE,i,TRUE,FALSE,FALSE,68.1,68.1,e,TRUE,FALSE,FALSE,FALSE,FALSE,Andrea_B,22,TRUE,FALSE,Superior,FALSE,TRUE,Native,FALSE,TRUE,FALSE,FALSE,FALSE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,f,WordList,219.8,381.2,1970.8,2873.4,71.6,422.5,400.5,450.4,464,466.5,466.4,465.7,1986.2,1986.2,2025.6,2055.1,2072.3,2080.3,2082.5,2918.2,2844.1,2867.4,2890,2894.9,2890.5,2883.3
2,cabeza,cabeza,Unstressed,REA,Spanish,s,k,FALSE,i,TRUE,FALSE,FALSE,23.7,23.7,a,FALSE,FALSE,TRUE,FALSE,FALSE,Andrea_B,22,TRUE,FALSE,Superior,FALSE,TRUE,Native,FALSE,TRUE,FALSE,FALSE,FALSE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,f,WordList,232.7,478.2,2115.6,2425.1,94.3,477.6,565.7,645.4,672.6,680.2,373.1,784.7,2116.2,2013.9,1922.5,919.6,1368.4,777,1788.8,2424.1,2592.1,2545,1910.1,1865.4,1865.9,2561.1
3,da?,dar,Stressed,REA,Spanish,s,d,FALSE,i,TRUE,FALSE,FALSE,68.9,68.9,a,FALSE,FALSE,TRUE,FALSE,FALSE,Andrea_B,22,TRUE,FALSE,Superior,FALSE,TRUE,Native,FALSE,TRUE,FALSE,FALSE,FALSE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,f,WordList,215.1,413.9,1599.8,2736.9,330.5,412.7,565.4,658.8,690.7,734.6,798.1,834.2,1599.5,1693.4,1739.6,1754.4,1742.5,1725,1710.7,2736.4,2798.3,2843.5,2878.8,2887.1,2875.6,2872.1
4,dolo?,dolor,Stressed,REA,Spanish,s,d,FALSE,i,TRUE,FALSE,FALSE,75.9,75.9,o,FALSE,TRUE,FALSE,FALSE,FALSE,Andrea_B,22,TRUE,FALSE,Superior,FALSE,TRUE,Native,FALSE,TRUE,FALSE,FALSE,FALSE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,f,WordList,196.8,1397.6,2733.9,3744.3,137.9,NA,769.9,354,369.6,423.7,460.5,467.4,1291.6,2109.4,1538.5,1376.5,1359.3,1399.9,1417.1,2649.9,3198.4,2818.6,2757.4,2746.9,2744.3,2745.4
5,ke,ke,Stressed,REA,Spanish,s,k,FALSE,i,TRUE,FALSE,FALSE,24.6,24.6,e,TRUE,FALSE,FALSE,FALSE,FALSE,Andrea_B,22,TRUE,FALSE,Superior,FALSE,TRUE,Native,FALSE,TRUE,FALSE,FALSE,FALSE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,f,WordList,227.4,410.2,2524.4,2957.2,152.6,411,437.9,440.3,440.5,441.8,450.3,458.7,2522.2,2432.3,2394.3,2374.8,2364.3,2369.9,2384.7,2953.8,2845.1,2862.8,2846.5,2820.5,2844.4,2878
6,depo?te,deporte,Unstressed,REA,Spanish,s,d,FALSE,i,TRUE,FALSE,FALSE,18,18,e,TRUE,FALSE,FALSE,FALSE,FALSE,Andrea_B,22,TRUE,FALSE,Superior,FALSE,TRUE,Native,FALSE,TRUE,FALSE,FALSE,FALSE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,f,WordList,211.2,410.1,2038.2,2919.3,46.2,409.9,430.9,448.3,459.1,459,451.2,443.6,2038.1,2069.9,2117.4,2163.9,2163.7,2065.3,1914.6,2919.3,2920,2957.3,2982,2689.8,2825.7,2825.3
7,ve?,ver,Stressed,REA,Spanish,s,b,FALSE,i,TRUE,FALSE,FALSE,75.8,75.8,e,TRUE,FALSE,FALSE,FALSE,FALSE,Andrea_B,22,TRUE,FALSE,Superior,FALSE,TRUE,Native,FALSE,TRUE,FALSE,FALSE,FALSE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,f,WordList,217,454,1906.4,2704.3,259.2,453,472.6,493,501.7,504.9,506.3,504.3,1905.1,1960.4,2041.4,2100.6,2142.7,2171.9,2198.2,2708.9,2711.4,2764.1,2784.9,2810.3,2831.7,2842.6
8,domingo,domingo,Unstressed,REA,Spanish,s,d,FALSE,i,TRUE,FALSE,FALSE,59.6,59.6,o,FALSE,TRUE,FALSE,FALSE,FALSE,Andrea_B,22,TRUE,FALSE,Superior,FALSE,TRUE,Native,FALSE,TRUE,FALSE,FALSE,FALSE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,f,WordList,209.3,384.7,1604.1,2836.1,62.2,378.7,458.1,500.9,545.7,560.9,558.4,547.7,1606.2,1589.4,1596.7,1565,1515.1,1424.1,1360,2834.2,2860.2,2862.1,2833.7,2802,2736.5,2705.7
9,dia,dia,Stressed,REA,Spanish,s,d,FALSE,i,TRUE,FALSE,FALSE,110.2,110.2,ia,FALSE,FALSE,FALSE,FALSE,TRUE,Andrea_B,22,TRUE,FALSE,Superior,FALSE,TRUE,Native,FALSE,TRUE,FALSE,FALSE,FALSE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,f,WordList,201,309.5,1990.2,2749.8,336.8,309.9,349.8,353.8,364.5,390.6,385.7,371,1994.2,2155.4,2246.9,2328.8,2407.7,2479.7,2553.3,2750.8,2804.1,2816.2,2844.8,2889.9,2923.3,2997.6
10,de,de,Stressed,REA,Spanish,s,d,FALSE,i,TRUE,FALSE,FALSE,122,122,e,TRUE,FALSE,FALSE,FALSE,FALSE,Andrea_B,22,TRUE,FALSE,Superior,FALSE,TRUE,Native,FALSE,TRUE,FALSE,FALSE,FALSE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,f,WordList,186.2,327.2,2041.2,2812.3,221.9,327.3,320.7,327.3,355,393.5,425.9,440,2043.8,1882.9,1905,1959.7,2015.3,2078.9,2157.2,2813,2784,2818.1,2845.6,2838.1,2824.9,2857.8
11,ga?aje,garaje,Unstressed,REA,Spanish,s,g,FALSE,i,TRUE,FALSE,FALSE,23.9,23.9,a,FALSE,FALSE,TRUE,FALSE,FALSE,Andrea_B,22,TRUE,FALSE,Superior,FALSE,TRUE,Native,FALSE,TRUE,FALSE,FALSE,FALSE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,f,WordList,NA,1407,1926.7,3049.8,133.1,NA,293.2,445.2,531.1,566.7,609.2,645.7,1381.7,1901.6,1942.3,1953.5,1921.8,1913.9,1908.5,1925.9,2848.8,2797,2659.4,2626.1,2619.9,2621.6
12,voy,voy,Stressed,REA,Spanish,s,b,FALSE,i,TRUE,FALSE,FALSE,98.8,98.8,oi,FALSE,FALSE,FALSE,FALSE,TRUE,Andrea_B,22,TRUE,FALSE,Superior,FALSE,TRUE,Native,FALSE,TRUE,FALSE,FALSE,FALSE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,f,WordList,180.8,176.1,1275.8,2646.9,420.5,173.1,204.5,290.8,350.9,393.2,419.8,431.9,1250.4,1075.7,1036.3,1018.2,988,975.6,976.6,2646.6,2733.5,2731.3,2661.2,2715.2,2783.7,2842.3
13,come?,comer,Stressed,REA,Spanish,s,k,FALSE,i,TRUE,FALSE,FALSE,32.1,32.1,o,FALSE,TRUE,FALSE,FALSE,FALSE,Andrea_B,22,TRUE,FALSE,Superior,FALSE,TRUE,Native,FALSE,TRUE,FALSE,FALSE,FALSE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,f,WordList,NA,440,1200.3,2859.8,46.7,438.5,488.8,509.6,516.4,510.5,491.7,459.8,1204.1,1100,1125.5,1107,1079.3,1063.5,1042.7,2861,2812.6,2767.5,2769.6,2776.5,2773.7,2736.3
14,bizco?os,bizcochos,Unstressed,REA,Spanish,s,b,FALSE,i,TRUE,FALSE,FALSE,35.7,35.7,i,TRUE,FALSE,FALSE,FALSE,FALSE,Andrea_B,22,TRUE,FALSE,Superior,FALSE,TRUE,Native,FALSE,TRUE,FALSE,FALSE,FALSE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,f,WordList,247,287.7,2209.4,2874,106.3,287.9,312.5,311.7,303.5,296.2,292.5,293.9,2209.9,2396.2,2566.6,2629.1,2665.4,2696.7,2725.9,2874.2,2971.3,3082.3,3151.9,3199.3,3237.3,3271.6
15,tu?ista,turista,Unstressed,REA,Spanish,s,t,FALSE,i,TRUE,FALSE,FALSE,14.9,14.9,u,FALSE,TRUE,FALSE,FALSE,FALSE,Andrea_B,22,TRUE,FALSE,Superior,FALSE,TRUE,Native,FALSE,TRUE,FALSE,FALSE,FALSE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,f,WordList,233.8,357.4,1634.5,2774.1,88,357.6,403.3,423.8,434.1,441.1,445.3,444.6,1633.1,1564.2,1541,1539.5,1519.7,1476.1,1432.6,2770.7,2733.7,2781.9,2776.7,2735.1,2718,2698.3
16,decision,decision,Unstressed,REA,Spanish,s,d,FALSE,i,TRUE,FALSE,FALSE,55.3,55.3,e,TRUE,FALSE,FALSE,FALSE,FALSE,Andrea_B,22,TRUE,FALSE,Superior,FALSE,TRUE,Native,FALSE,TRUE,FALSE,FALSE,FALSE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,f,WordList,196.5,397,1963.4,3056.8,126.9,395.5,375.4,404.4,430.7,439.5,450.8,459.9,1964.5,1991.8,2036.4,2085.2,2115.7,2137.2,2170.6,3050.8,2939.2,2910.6,2915.6,2948.6,2949.9,2950.9
17,cuy,cuy,Stressed,REA,Spanish,s,k,FALSE,i,TRUE,FALSE,FALSE,44.2,44.2,ui,FALSE,FALSE,FALSE,FALSE,TRUE,Andrea_B,22,TRUE,FALSE,Superior,FALSE,TRUE,Native,FALSE,TRUE,FALSE,FALSE,FALSE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,f,WordList,NA,359.3,869.5,2703.8,401.3,362.8,407.6,422.2,424.4,428.9,430.8,430,860.6,890.4,898.7,895.4,895.9,893.9,892.1,2724.3,2706.7,2706,2723.6,2712.9,2722.7,2762.1
18,toma?,tomar,Stressed,REA,Spanish,s,t,FALSE,i,TRUE,FALSE,FALSE,10.2,10.2,o,FALSE,TRUE,FALSE,FALSE,FALSE,Andrea_B,22,TRUE,FALSE,Superior,FALSE,TRUE,Native,FALSE,TRUE,FALSE,FALSE,FALSE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,f,WordList,NA,414.4,1785.3,2924.3,83.6,413.6,470,508,531.9,552.1,567.6,571.3,1788.3,1607.6,1573.9,1498.8,1440.4,1364.2,1258.2,2925.9,2841.5,2881.5,2858.5,2805.6,2800.2,2769.7
19,buena,buena,Stressed,REA,Spanish,s,b,FALSE,i,TRUE,FALSE,FALSE,65.9,65.9,ue,FALSE,FALSE,FALSE,FALSE,TRUE,Andrea_B,22,TRUE,FALSE,Superior,FALSE,TRUE,Native,FALSE,TRUE,FALSE,FALSE,FALSE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,f,WordList,203.7,423.3,1519,3392.8,193.8,419,458,431.5,413.2,423.7,435.1,437.5,1585.2,946,903,896.4,944.4,1011.3,1087,3452.8,2876.2,2863.9,2879.2,2924.6,2914.2,2925.2
20,te?mina?,terminar,Unstressed,REA,Spanish,s,t,FALSE,i,TRUE,FALSE,FALSE,10.6,10.6,e,TRUE,FALSE,FALSE,FALSE,FALSE,Andrea_B,22,TRUE,FALSE,Superior,FALSE,TRUE,Native,FALSE,TRUE,FALSE,FALSE,FALSE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,f,WordList,NA,404.7,2141,2973.1,132,398.2,452.5,443,445.7,457.2,470.6,484.8,2141.2,2142.3,2153.4,2169.2,2192.1,2212,2236.7,2979.1,2931.3,2952.2,2972.1,2971.5,2955.9,2953.1
21,puma,puma,Stressed,REA,Spanish,s,p,FALSE,i,TRUE,FALSE,FALSE,17.2,17.2,u,FALSE,TRUE,FALSE,FALSE,FALSE,Andrea_B,22,TRUE,FALSE,Superior,FALSE,TRUE,Native,FALSE,TRUE,FALSE,FALSE,FALSE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,f,WordList,NA,502.6,1869.2,2863,118.3,505.5,514.1,434.7,392.9,386.5,399.9,415,1878.2,937.3,687.9,686.9,677,666.9,659.1,2864.8,2877,2917.8,2971.8,2960.5,3009.7,3074.6
22,diciemb?e,diciembre,Unstressed,REA,Spanish,s,d,FALSE,i,TRUE,FALSE,FALSE,71.8,71.8,i,TRUE,FALSE,FALSE,FALSE,FALSE,Andrea_B,22,TRUE,FALSE,Superior,FALSE,TRUE,Native,FALSE,TRUE,FALSE,FALSE,FALSE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,f,WordList,209,298.6,2128.2,3048.1,122.9,299,357.3,388.6,403.4,398.5,385.3,374.9,2128.5,2187.6,2286.1,2348.6,2388.7,2420.4,2454.2,3047,2943.5,2968.3,3004,3035.5,3054,3063.4
23,tene?,tener,Stressed,REA,Spanish,s,t,FALSE,i,TRUE,FALSE,FALSE,10.6,10.6,e,TRUE,FALSE,FALSE,FALSE,FALSE,Andrea_B,22,TRUE,FALSE,Superior,FALSE,TRUE,Native,FALSE,TRUE,FALSE,FALSE,FALSE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,f,WordList,NA,342.4,2049.1,2973.5,99.6,343.8,475.5,483.5,481.6,483.9,486.6,492.4,2049.3,2080.2,2104.8,2139.7,2194.8,2242.9,2270.5,2973.6,2973.1,2960.9,2950.5,2958.1,2976.3,2987.1
24,co?ta?,cortar,Stressed,REA,Spanish,s,k,FALSE,i,TRUE,FALSE,FALSE,40.4,40.4,o,FALSE,TRUE,FALSE,FALSE,FALSE,Andrea_B,22,TRUE,FALSE,Superior,FALSE,TRUE,Native,FALSE,TRUE,FALSE,FALSE,FALSE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,f,WordList,250.2,383.1,931,2830.1,179.9,380.8,435.2,442,438.4,436.3,439.6,447,939.5,1013.8,1031.5,1035,1030.3,1031.3,1042.8,2824.5,2830.8,2829.1,2807.7,2781.8,2780.3,2789.3
25,boske,boske,Stressed,REA,Spanish,s,b,FALSE,i,TRUE,FALSE,FALSE,37.2,37.2,o,FALSE,TRUE,FALSE,FALSE,FALSE,Andrea_B,22,TRUE,FALSE,Superior,FALSE,TRUE,Native,FALSE,TRUE,FALSE,FALSE,FALSE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,f,WordList,240.3,327.9,1586.6,2546.7,228.2,322.9,398.7,420.9,447.9,448.5,452.3,456,1610.2,1206.5,1025,1024.5,1019.7,1017.2,1017,2549.4,2580.5,2797.3,2865.8,2895.8,2909.4,2919
26,pa<f1>o,pano,Stressed,REA,Spanish,s,p,FALSE,i,TRUE,FALSE,FALSE,8.8,8.8,a,FALSE,FALSE,TRUE,FALSE,FALSE,Andrea_B,22,TRUE,FALSE,Superior,FALSE,TRUE,Native,FALSE,TRUE,FALSE,FALSE,FALSE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,f,WordList,242.5,643.5,1295.6,2791.9,182.2,641.5,693.4,717.1,762,803,818.3,828.5,1291.3,1401.4,1445.9,1483.6,1504.6,1504.9,1504.8,2790.1,2832.2,2813.8,2798.1,2823.2,2829.9,2811.7
27,documento,documento,Unstressed,REA,Spanish,s,d,FALSE,i,TRUE,FALSE,FALSE,71.1,71.1,o,FALSE,TRUE,FALSE,FALSE,FALSE,Andrea_B,22,TRUE,FALSE,Superior,FALSE,TRUE,Native,FALSE,TRUE,FALSE,FALSE,FALSE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,f,WordList,225.6,396.7,1709.6,3056.3,120.7,401.2,479.6,509.4,522.5,534.5,536.5,549.6,1708.4,1701.9,1679.8,1597,1482.1,1369.8,1309.8,3049.7,2950.9,2943.6,2926.3,2867.5,2840.4,2830.7
28,pa<f1>o,pano,Stressed,REA,Spanish,s,p,FALSE,i,TRUE,FALSE,FALSE,13.7,13.7,a,FALSE,FALSE,TRUE,FALSE,FALSE,Andrea_B,22,TRUE,FALSE,Superior,FALSE,TRUE,Native,FALSE,TRUE,FALSE,FALSE,FALSE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,f,WordList,NA,594.9,1532.9,2766.3,143.8,595.5,607.9,676.3,731,774,803.3,822.8,1536.8,1361.4,1415.9,1443.3,1464.5,1484.7,1492,2769.8,2602.8,2639.6,2655.5,2667.3,2679.8,2689.6
29,boske,boske,Stressed,REA,Spanish,s,b,FALSE,i,TRUE,FALSE,FALSE,61.5,61.5,o,FALSE,TRUE,FALSE,FALSE,FALSE,Andrea_B,22,TRUE,FALSE,Superior,FALSE,TRUE,Native,FALSE,TRUE,FALSE,FALSE,FALSE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,f,WordList,NA,462.7,1247.9,2538.5,230.3,461.8,481.8,495.2,508.9,514.3,510.8,505.3,1254.6,1055.8,1046.2,1055.3,1052.7,1047.4,1040.5,2540.2,2664,2789.8,2856.2,2896.6,2893.5,2885.7
30,tia,tia,Stressed,REA,Spanish,s,t,FALSE,i,TRUE,FALSE,FALSE,14.2,14.2,ia,FALSE,FALSE,FALSE,FALSE,TRUE,Andrea_B,22,TRUE,FALSE,Superior,FALSE,TRUE,Native,FALSE,TRUE,FALSE,FALSE,FALSE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,f,WordList,NA,237.2,2305.3,2992.4,365.1,251.5,301.2,304.3,312.2,315,307.5,301.2,2342.7,2533.6,2598,2628.3,2671.1,2705.9,2728.2,2993.9,3028.4,3069.8,3122.8,3179.7,3223.8,3282.8
31,bota?,botar,Stressed,REA,Spanish,s,b,FALSE,i,TRUE,FALSE,FALSE,81.8,81.8,o,FALSE,TRUE,FALSE,FALSE,FALSE,Andrea_B,22,TRUE,FALSE,Superior,FALSE,TRUE,Native,FALSE,TRUE,FALSE,FALSE,FALSE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,f,WordList,195.7,415,1415,2896.1,124,414.9,402,419.6,442.8,452.7,464.8,473,1362.1,871.7,1007.5,1024.2,1031.5,1029,1024.2,2881.4,2845,2984.2,3009.2,3011.5,3019.9,3041.1
32,tecnologia,tecnologia,Unstressed,REA,Spanish,s,t,FALSE,i,TRUE,FALSE,FALSE,18,18,e,TRUE,FALSE,FALSE,FALSE,FALSE,Andrea_B,22,TRUE,FALSE,Superior,FALSE,TRUE,Native,FALSE,TRUE,FALSE,FALSE,FALSE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,f,WordList,292,515.2,2161.4,2977.8,79.2,518.2,539.7,519.8,499.8,491.8,486.1,480.2,2161.4,2162.1,2179.7,2202.3,2216.2,2229.3,2226.7,2981.2,2984.1,2943.5,2923.2,2918.4,2899.2,2867.8
33,computado?a,computadora,Unstressed,REA,Spanish,s,k,FALSE,i,TRUE,FALSE,FALSE,29.6,29.6,o,FALSE,TRUE,FALSE,FALSE,FALSE,Andrea_B,22,TRUE,FALSE,Superior,FALSE,TRUE,Native,FALSE,TRUE,FALSE,FALSE,FALSE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,f,WordList,NA,462.8,955.4,2971.1,66,460.6,496.2,500.3,492.1,489.9,482.3,469.5,960.2,979.8,1028.2,1035.4,1019.6,1002.2,992,2970.3,2957.6,2948.4,2960.2,2977.3,2926,2788.4
34,television,television,Unstressed,REA,Spanish,s,t,FALSE,i,TRUE,FALSE,FALSE,10.8,10.8,e,TRUE,FALSE,FALSE,FALSE,FALSE,Andrea_B,22,TRUE,FALSE,Superior,FALSE,TRUE,Native,FALSE,TRUE,FALSE,FALSE,FALSE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,f,WordList,NA,416.4,1955.8,2868,79.3,407.1,476.5,475.5,479.3,487.5,487.4,489.6,1945.5,2040.2,2071.6,2090.7,2123.3,1603.4,1859.4,2840.6,3036,3036.6,3033,3040.2,2515.4,2756.3
35,do?mi?,dormir,Stressed,REA,Spanish,s,d,FALSE,i,TRUE,FALSE,FALSE,62.4,62.4,o,FALSE,TRUE,FALSE,FALSE,FALSE,Andrea_B,22,TRUE,FALSE,Superior,FALSE,TRUE,Native,FALSE,TRUE,FALSE,FALSE,FALSE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,f,WordList,NA,462.5,1657.2,2862.8,176.5,464.7,511.1,554.1,574.6,587.3,592.3,593.4,1656,1634.4,1647.7,1528.2,1447,1385.7,1360.4,2862.8,2865.4,2879.6,2820.8,2780.6,2776.8,2774.6
36,dedo,dedo,Stressed,REA,Spanish,s,d,FALSE,i,TRUE,FALSE,FALSE,101.5,101.5,e,TRUE,FALSE,FALSE,FALSE,FALSE,Andrea_B,22,TRUE,FALSE,Superior,FALSE,TRUE,Native,FALSE,TRUE,FALSE,FALSE,FALSE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,f,WordList,NA,1107.1,2028.4,3050.3,216.5,NA,774.8,415.5,267,302.9,351.7,412.8,1107.1,2059.5,1962.9,1896.4,1882,1808.7,1748.4,2028.4,3090.2,3079.9,3109,3158.7,3058.6,2871.2
37,keda?,kedar,Stressed,REA,Spanish,s,k,FALSE,i,TRUE,FALSE,FALSE,33.5,33.5,e,TRUE,FALSE,FALSE,FALSE,FALSE,Andrea_B,22,TRUE,FALSE,Superior,FALSE,TRUE,Native,FALSE,TRUE,FALSE,FALSE,FALSE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,f,WordList,273.3,383.5,2453.1,2915.2,124,381.3,449,484,492.8,498,506,514.1,2454.3,2436.2,2336.6,2281.5,2284.2,2284,2281,2913.1,2887.6,2873.9,2851.3,2781.8,2771,2799.4
38,tereno,tereno,Unstressed,REA,Spanish,s,t,FALSE,i,TRUE,FALSE,FALSE,17.1,17.1,e,TRUE,FALSE,FALSE,FALSE,FALSE,Andrea_B,22,TRUE,FALSE,Superior,FALSE,TRUE,Native,FALSE,TRUE,FALSE,FALSE,FALSE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,f,WordList,NA,363.2,2024.8,3001.3,117.7,356.5,435.9,479.5,487.5,489.6,491.1,491.2,2024.2,2076.8,2085.2,2053.9,2079,2109.8,2127.2,3001.4,3012.9,2989.2,2971.7,2923.4,2907.5,2927
39,comp?a?,comprar,Unstressed,REA,Spanish,s,k,FALSE,i,TRUE,FALSE,FALSE,24.1,24.1,o,FALSE,TRUE,FALSE,FALSE,FALSE,Andrea_B,22,TRUE,FALSE,Superior,FALSE,TRUE,Native,FALSE,TRUE,FALSE,FALSE,FALSE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,f,WordList,NA,422.6,1041.9,2800.4,61.9,418.6,468.6,478.9,490.8,512.4,501.8,476.7,1039.6,1071.9,1092,1094.8,1067.2,998.8,972.5,2797.8,2828.5,2826.6,2841.1,2836,2761.5,2650.1
40,pico,pico,Stressed,REA,Spanish,s,p,FALSE,i,TRUE,FALSE,FALSE,11.6,11.6,i,TRUE,FALSE,FALSE,FALSE,FALSE,Andrea_B,22,TRUE,FALSE,Superior,FALSE,TRUE,Native,FALSE,TRUE,FALSE,FALSE,FALSE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,f,WordList,NA,286.8,2086.1,2829.1,74.7,287,298.8,320.1,365.8,397.1,413.3,418.9,2098.7,2652.5,2694.3,2747.5,2762.6,2783.4,2836.2,2831.7,2961.2,3092.7,3189.1,3314.2,3412.4,3420.1
41,te?minal,terminal,Unstressed,REA,Spanish,s,t,FALSE,i,TRUE,FALSE,FALSE,9.3,9.3,e,TRUE,FALSE,FALSE,FALSE,FALSE,Andrea_B,22,TRUE,FALSE,Superior,FALSE,TRUE,Native,FALSE,TRUE,FALSE,FALSE,FALSE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Zero,FALSE,FALSE,FALSE,FALSE,TRUE,Urban,f,WordList,NA,411.5,2245.3,3001.4,97.3,428.5,474,476,476.3,477.5,486.8,499.3,2185.4,2070.2,2087,2099.6,2126.3,2143.4,2142.9,2945.8,2800.7,2822.9,2829.5,2846.1,2898.2,2923.5
